JLCPCB Part,Description
C178594,220uF 50V 670mA@100kHz 180mΩ@100kHz ±20% SMD  Aluminum Electrolytic Capacitors - SMD ROHS
C14663,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C21120,25V 220nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C2286,-40℃~+85℃ Red 0603  Light Emitting Diodes (LED) ROHS
C23179,100mW Thick Film Resistors ±100ppm/℃ ±1% 470Ω 0603  Chip Resistor - Surface Mount ROHS
C25804,100mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS
C21190,100mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS
C4177,100mW Thick Film Resistors ±100ppm/℃ ±1% 1.8kΩ 0603  Chip Resistor - Surface Mount ROHS
C22978,100mW Thick Film Resistors ±100ppm/℃ ±1% 3.3kΩ 0603  Chip Resistor - Surface Mount ROHS
C294566,No NO 50mA 100MΩ 50000次 250gf@±50gf 12V Brick nogging SPST SMD  Tactile Switches ROHS
C155176,8mA 1 4.5V~5.5V 8mA 4 SOP-14  Buffer/Driver/Transceiver ROHS
C6820,"Schmitt Trigger 6 21ns@6V,50pF 2uA 2V~6V SOP-14  Inverters ROHS"
C2676069,32mA 1.65V~5.5V 32mA TSSOP-8-3mm  Buffer/Driver/Transceiver ROHS
C58069,62dB@(120Hz) 500mA Fixed 5V Positive 35V TO-252  Linear Voltage Regulators (LDO) ROHS
C2040,264KB 30 ARM-MSeries 133MHz LQFN-56(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS
