Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,VE-221M1ETR-0810,CAP-SMD_BD8.0-L8.3-W8.3-RD,91.186,-73.406,90.0,top
C2,CL31B104KBCNNNC,C1206,89.662,-48.514,0.0,bottom
C3,VE-221M1ETR-0810,CAP-SMD_BD8.0-L8.3-W8.3-RD,91.186,-38.354,-90.0,top
C4,CL31B104KBCNNNC,C1206,89.662,-53.34,0.0,bottom
C5,CL31B104KBCNNNC,C1206,89.662,-58.166,0.0,bottom
C6,CL31B104KBCNNNC,C1206,89.730583,-62.992,0.0,bottom
C7,CL31B104KBCNNNC,C1206,89.593417,-43.434,0.0,bottom
C8,CL31B104KBCNNNC,C1206,89.662,-67.818,0.0,bottom
J1,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,91.226,-46.0531,0.0,top
J2,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,91.226,-50.8001,0.0,top
J3,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,91.226,-55.6261,0.0,top
J4,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,91.226,-60.4521,0.0,top
J5,B3B-EH-ALFSN,CONN3_B3B-EH-ALFSN_JST,91.226,-65.2781,0.0,top
