Comment,Designator,Footprint,LCSC
0.1uF 50V ,"C10,C11,C12,C17,C19,C2,C3,C4,C5,C6,C7,C8",C0603,C14663
0.33uF 35V,C13,C0603,C152932
SN74AHCT125N,"U1,U2,U3,U6",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C155176
220uF 35V,"C1,C9",CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,C178594
1k,"R3,R5,R7,R8,R9",R0603,C21190
LED,D1,LED0603-RD,C2286
3.3k,R13,R0603,C22978
470,"R1,R14",R0603,C23179
10k,"R10,R11,R2,R4,R6",R0603,C25804
74LVC2G241,U7,SSOP-8_L3.0-W2.8-P0.65-LS4.0-BL,C2676069
SW_Push,"SW1,SW2",KEY-SMD_4P-L6.1-W6.1-P4.50-LS9.0,C294566
110uF 35V,"C14,C16",CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,C401811
CDSOT23-SM712,U5,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C404012
1.8k,R12,R0603,C4177
L78M05ABDT-TR,Q1,TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL,C58069
74HC14,U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C6820
MountingHole,H3,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
1000uF 25V,C15,CP_Radial_D10.0mm_P5.00mm,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
Neopixel Conn.,J1,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
Conn_01x04_Pin,J_I2C1,PinHeader_1x04_P2.54mm_Vertical,
Teensy4.1,U9,Teensy41,
Conn_01x06_Pin,J5,PinHeader_2x03_P2.00mm_Vertical,
Barrel_Jack_Switch 12V,J2,BarrelJack_Wuerth_6941xx301002,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
RJ45 x4,J4,RJ45_x4,
RJ45_LED_Shielded,J3,RJ45_Cetus_J1B1211CCD_Horizontal,
1000uF 25V,C18,CP_Radial_D10.0mm_P5.00mm,
