Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-70.240026,-73.3,90.0,top
C2,0.1uF 50V ,C0603,-45.611109,-3.310295,0.0,top
C3,0.1uF 50V ,C0603,-72.279743,-26.307295,0.0,top
C4,0.1uF 50V ,C0603,-70.758892,9.384295,180.0,top
C5,0.1uF 50V ,C0603,-59.598377,-3.310295,0.0,top
C6,0.1uF 50V ,C0603,-56.788892,9.384295,180.0,top
C7,0.1uF 50V ,C0603,-33.634554,-3.168459,0.0,top
C8,0.1uF 50V ,C0603,-42.818892,9.384295,180.0,top
C9,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-91.194975,12.257607,-90.0,top
C10,0.1uF 50V ,C0603,-73.658184,-3.310295,0.0,top
C11,0.1uF 50V ,C0603,-27.096691,1.916579,-90.0,top
C12,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-4.214,-7.929974,0.0,top
C13,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-91.195026,-0.061393,90.0,top
C14,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-17.702393,6.075026,0.0,top
C16,0.1uF 50V ,C0603,-52.387233,-28.217705,180.0,top
C17,0.1uF 50V ,C0603,-22.607258,21.947295,180.0,top
C19,0.1uF 50V ,C0603,-26.325477,-41.826125,135.0,top
C20,220uF 35V,CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD,-17.702393,15.813633,0.0,top
D1,LED,LED0603-RD,-29.014568,-18.646199,0.0,top
D2,LED,LED0603-RD,-22.015568,-18.649628,0.0,top
D3,SMAJ14A,SMA_L4.3-W2.6-LS5.1-RD,-6.458975,-28.250025,0.0,top
D4,ESD5Z5_0T1G,SOD-523F_L1.2-W0.8-LS1.7-RD,-56.016,12.171,90.0,top
D5,ESD5Z5_0T1G,SOD-523F_L1.2-W0.8-LS1.7-RD,-69.986,12.298,90.0,top
D6,ESD5Z5_0T1G,SOD-523F_L1.2-W0.8-LS1.7-RD,-42.046,12.298,90.0,top
R1,220,R0603,-29.011101,-20.56,0.0,top
R2,10k,R0603,-70.766634,7.482,180.0,top
R3,1k,R0603,-71.52,12.298,-90.0,top
R4,10k,R0603,-56.796634,7.482,180.0,top
R5,1k,R0603,-57.55,12.179634,-90.0,top
R6,10k,R0603,-42.826634,7.482,180.0,top
R7,1k,R0603,-43.58,12.306634,-90.0,top
R8,1k,R0603,-70.875,-59.457,0.0,top
R9,1k,R0603,-70.875,-56.79,0.0,top
R10,10k,R0603,-26.72703,5.718836,180.0,top
R11,10k,R0603,-30.020396,5.718836,0.0,top
R12,1.8k,R0603,-30.020396,-2.028164,0.0,top
R13,3.3k,R0603,-26.72703,-2.028164,0.0,top
R14,470,R0603,-72.526,-43.328,45.0,top
R15,510,R0603,-21.919899,-20.556571,0.0,top
U1,SN74AHCT125N,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,-76.512392,1.767051,180.0,top
U2,SN74AHCT125N,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,-62.443951,1.767051,180.0,top
U3,SN74AHCT125N,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,-48.473951,1.767051,180.0,top
U4,74HC14,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,-75.133951,-21.229949,180.0,top
U5,TSA063G60-250,KEY-SMD_4P-L6.1-W6.1-P4.50-LS9.0,-84.799019,-69.87609,135.0,top
U6,SN74AHCT125N,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,-36.497396,1.908887,180.0,top
U7,74LVC2G241,SSOP-8_L3.0-W2.8-P0.65-LS4.0-BL,-29.863462,2.201984,180.0,top
U8,TSA063G60-250,KEY-SMD_4P-L6.1-W6.1-P4.50-LS9.0,-102.399019,-52.57609,135.0,top
