"Source:","/Users/julian/Ernst Busch/02__PROJEKTE/20230930 mollusc motion Hardware/mollusc-motion-hardware/mollusc_motion_board/mollusc_motion_board.kicad_sch"
"Date:","2024 January 24, Wednesday 10:53:24"
"Tool:","Eeschema 7.0.5-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Category","Comment","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","JLCPCB Part #","LCSC","MPN","Manufacturer","Reseller","Status"
"1","1","BT1","Battery_Cell","Device:Battery_Cell","molluscmotion:BAT_S8421-45R","~","","","","","","","","","","","","","",""
"2","6","C1, C9, C12, C13, C14, C20","220uF 35V","Device:C_Polarized","molluscmotion:CAP-SMD_BD8.0-L8.3-W8.3-LS9.9-FD","~","","","","","","","","","C178594","","","","",""
"3","11","C2, C3, C4, C5, C6, C7, C8, C10, C11, C16, C17","0.1uF 50V ","Device:C","molluscmotion:C0603","~","","","place near SN74AHCT125N","","","","","","C14663","","","","",""
"4","2","C15, C18","1000uF 25V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","","place near Neopixel Connection","","","","","","","","","","",""
"5","1","C19","0.1uF 50V ","Device:C_Polarized","molluscmotion:C0603","~","","","","","","","","","C14663","","","","",""
"6","2","CB1, CB2","CircuitBreaker_1P_closed","clockdiv:CircuitBreaker_1P_closed","clockdiv:CircuitBreaker_0603_closed","~","","","","","","","","","","","","","",""
"7","2","D1, D2","LED","Device:LED","molluscmotion:LED0603-RD","~","","","","","","","","","C2286","","","","",""
"8","1","D3","SMAJ14A","molluscmotion:SMAJ14A_C908768","molluscmotion:SMA_L4.3-W2.6-LS5.1-RD","https://atta.szlcsc.com/upload/public/pdf/source/20180709/C223994_0992A17B371532752A8F64061563D908.pdf","","","","","","","","","","C908768","","","",""
"9","3","D4, D5, D6","ESD5Z5_0T1G","molluscmotion:ESD5Z5_0T1G","molluscmotion:SOD-523F_L1.2-W0.8-LS1.7-RD","https://item.szlcsc.com/235389.html","","","","","","","","","","C82044","","","",""
"10","6","H1, H2, H3, H4, H5, H6","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","","","","","","","",""
"11","1","J1","NP Power+Sig","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","",""
"12","1","J2","Barrel_Jack_Switch 12V","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","","","","","","","","","","","","","",""
"13","1","J3","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","Connector_RJ:RJ45_Cetus_J1B1211CCD_Horizontal","~","","","","","","","","","","","","","",""
"14","1","J4","RJ45 x4","clockdiv:RJ45_x4","clockdiv:RJ45_x4","https://abracon.com/Magnetics/lan/ARJ14A.pdf","","","","","","","","","","","","","",""
"15","1","J5","Conn_01x06_Pin","Connector:Conn_01x06_Pin","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","~","","","","","","","","","","","","","",""
"16","1","J6","D36V50F5","clockdiv:Pololu_5V,_5.5A_Step-Down_Voltage_Regulator_D36V50F5","clockdiv:Pololu_5V_5.5A_Step-Down_Voltage_Regulator_D36V50F5","","","","","","","","","","","","","","https://eckstein-shop.de/Pololu-5V-55A-Step-Down-Voltage-Regulator-D36V50F5",""
